,exchange,cal_date,is_open
0,SSE,20180101,0
1,SSE,20180102,1
2,SSE,20180103,1
3,SSE,20180104,1
4,SSE,20180105,1
5,SSE,20180106,0
6,SSE,20180107,0
7,SSE,20180108,1
8,SSE,20180109,1
9,SSE,20180110,1
10,SSE,20180111,1
11,SSE,20180112,1
12,SSE,20180113,0
13,SSE,20180114,0
14,SSE,20180115,1
15,SSE,20180116,1
16,SSE,20180117,1
17,SSE,20180118,1
18,SSE,20180119,1
19,SSE,20180120,0
20,SSE,20180121,0
21,SSE,20180122,1
22,SSE,20180123,1
23,SSE,20180124,1
24,SSE,20180125,1
25,SSE,20180126,1
26,SSE,20180127,0
27,SSE,20180128,0
28,SSE,20180129,1
29,SSE,20180130,1
30,SSE,20180131,1
31,SSE,20180201,1
32,SSE,20180202,1
33,SSE,20180203,0
34,SSE,20180204,0
35,SSE,20180205,1
36,SSE,20180206,1
37,SSE,20180207,1
38,SSE,20180208,1
39,SSE,20180209,1
40,SSE,20180210,0
41,SSE,20180211,0
42,SSE,20180212,1
43,SSE,20180213,1
44,SSE,20180214,1
45,SSE,20180215,0
46,SSE,20180216,0
47,SSE,20180217,0
48,SSE,20180218,0
49,SSE,20180219,0
50,SSE,20180220,0
51,SSE,20180221,0
52,SSE,20180222,1
53,SSE,20180223,1
54,SSE,20180224,0
55,SSE,20180225,0
56,SSE,20180226,1
57,SSE,20180227,1
58,SSE,20180228,1
59,SSE,20180301,1
60,SSE,20180302,1
61,SSE,20180303,0
62,SSE,20180304,0
63,SSE,20180305,1
64,SSE,20180306,1
65,SSE,20180307,1
66,SSE,20180308,1
67,SSE,20180309,1
68,SSE,20180310,0
69,SSE,20180311,0
70,SSE,20180312,1
71,SSE,20180313,1
72,SSE,20180314,1
73,SSE,20180315,1
74,SSE,20180316,1
75,SSE,20180317,0
76,SSE,20180318,0
77,SSE,20180319,1
78,SSE,20180320,1
79,SSE,20180321,1
80,SSE,20180322,1
81,SSE,20180323,1
82,SSE,20180324,0
83,SSE,20180325,0
84,SSE,20180326,1
85,SSE,20180327,1
86,SSE,20180328,1
87,SSE,20180329,1
88,SSE,20180330,1
89,SSE,20180331,0
90,SSE,20180401,0
91,SSE,20180402,1
92,SSE,20180403,1
93,SSE,20180404,1
94,SSE,20180405,0
95,SSE,20180406,0
96,SSE,20180407,0
97,SSE,20180408,0
98,SSE,20180409,1
99,SSE,20180410,1
100,SSE,20180411,1
101,SSE,20180412,1
102,SSE,20180413,1
103,SSE,20180414,0
104,SSE,20180415,0
105,SSE,20180416,1
106,SSE,20180417,1
107,SSE,20180418,1
108,SSE,20180419,1
109,SSE,20180420,1
110,SSE,20180421,0
111,SSE,20180422,0
112,SSE,20180423,1
113,SSE,20180424,1
114,SSE,20180425,1
115,SSE,20180426,1
116,SSE,20180427,1
117,SSE,20180428,0
118,SSE,20180429,0
119,SSE,20180430,0
120,SSE,20180501,0
121,SSE,20180502,1
122,SSE,20180503,1
123,SSE,20180504,1
124,SSE,20180505,0
125,SSE,20180506,0
126,SSE,20180507,1
127,SSE,20180508,1
128,SSE,20180509,1
129,SSE,20180510,1
130,SSE,20180511,1
131,SSE,20180512,0
132,SSE,20180513,0
133,SSE,20180514,1
134,SSE,20180515,1
135,SSE,20180516,1
136,SSE,20180517,1
137,SSE,20180518,1
138,SSE,20180519,0
139,SSE,20180520,0
140,SSE,20180521,1
141,SSE,20180522,1
142,SSE,20180523,1
143,SSE,20180524,1
144,SSE,20180525,1
145,SSE,20180526,0
146,SSE,20180527,0
147,SSE,20180528,1
148,SSE,20180529,1
149,SSE,20180530,1
150,SSE,20180531,1
151,SSE,20180601,1
152,SSE,20180602,0
153,SSE,20180603,0
154,SSE,20180604,1
155,SSE,20180605,1
156,SSE,20180606,1
157,SSE,20180607,1
158,SSE,20180608,1
159,SSE,20180609,0
160,SSE,20180610,0
161,SSE,20180611,1
162,SSE,20180612,1
163,SSE,20180613,1
164,SSE,20180614,1
165,SSE,20180615,1
166,SSE,20180616,0
167,SSE,20180617,0
168,SSE,20180618,0
169,SSE,20180619,1
170,SSE,20180620,1
171,SSE,20180621,1
172,SSE,20180622,1
173,SSE,20180623,0
174,SSE,20180624,0
175,SSE,20180625,1
176,SSE,20180626,1
177,SSE,20180627,1
178,SSE,20180628,1
179,SSE,20180629,1
180,SSE,20180630,0
181,SSE,20180701,0
182,SSE,20180702,1
183,SSE,20180703,1
184,SSE,20180704,1
185,SSE,20180705,1
186,SSE,20180706,1
187,SSE,20180707,0
188,SSE,20180708,0
189,SSE,20180709,1
190,SSE,20180710,1
191,SSE,20180711,1
192,SSE,20180712,1
193,SSE,20180713,1
194,SSE,20180714,0
195,SSE,20180715,0
196,SSE,20180716,1
197,SSE,20180717,1
198,SSE,20180718,1
199,SSE,20180719,1
200,SSE,20180720,1
201,SSE,20180721,0
202,SSE,20180722,0
203,SSE,20180723,1
204,SSE,20180724,1
205,SSE,20180725,1
206,SSE,20180726,1
207,SSE,20180727,1
208,SSE,20180728,0
209,SSE,20180729,0
210,SSE,20180730,1
211,SSE,20180731,1
212,SSE,20180801,1
213,SSE,20180802,1
214,SSE,20180803,1
215,SSE,20180804,0
216,SSE,20180805,0
217,SSE,20180806,1
218,SSE,20180807,1
219,SSE,20180808,1
220,SSE,20180809,1
221,SSE,20180810,1
222,SSE,20180811,0
223,SSE,20180812,0
224,SSE,20180813,1
225,SSE,20180814,1
226,SSE,20180815,1
227,SSE,20180816,1
228,SSE,20180817,1
229,SSE,20180818,0
230,SSE,20180819,0
231,SSE,20180820,1
232,SSE,20180821,1
233,SSE,20180822,1
234,SSE,20180823,1
235,SSE,20180824,1
236,SSE,20180825,0
237,SSE,20180826,0
238,SSE,20180827,1
239,SSE,20180828,1
240,SSE,20180829,1
241,SSE,20180830,1
242,SSE,20180831,1
243,SSE,20180901,0
244,SSE,20180902,0
245,SSE,20180903,1
246,SSE,20180904,1
247,SSE,20180905,1
248,SSE,20180906,1
249,SSE,20180907,1
250,SSE,20180908,0
251,SSE,20180909,0
252,SSE,20180910,1
253,SSE,20180911,1
254,SSE,20180912,1
255,SSE,20180913,1
256,SSE,20180914,1
257,SSE,20180915,0
258,SSE,20180916,0
259,SSE,20180917,1
260,SSE,20180918,1
261,SSE,20180919,1
262,SSE,20180920,1
263,SSE,20180921,1
264,SSE,20180922,0
265,SSE,20180923,0
266,SSE,20180924,0
267,SSE,20180925,1
268,SSE,20180926,1
269,SSE,20180927,1
270,SSE,20180928,1
271,SSE,20180929,0
272,SSE,20180930,0
273,SSE,20181001,0
274,SSE,20181002,0
275,SSE,20181003,0
276,SSE,20181004,0
277,SSE,20181005,0
278,SSE,20181006,0
279,SSE,20181007,0
280,SSE,20181008,1
281,SSE,20181009,1
282,SSE,20181010,1
283,SSE,20181011,1
284,SSE,20181012,1
285,SSE,20181013,0
286,SSE,20181014,0
287,SSE,20181015,1
288,SSE,20181016,1
289,SSE,20181017,1
290,SSE,20181018,1
291,SSE,20181019,1
292,SSE,20181020,0
293,SSE,20181021,0
294,SSE,20181022,1
295,SSE,20181023,1
296,SSE,20181024,1
297,SSE,20181025,1
298,SSE,20181026,1
299,SSE,20181027,0
300,SSE,20181028,0
301,SSE,20181029,1
302,SSE,20181030,1
303,SSE,20181031,1
304,SSE,20181101,1
305,SSE,20181102,1
306,SSE,20181103,0
307,SSE,20181104,0
308,SSE,20181105,1
309,SSE,20181106,1
310,SSE,20181107,1
311,SSE,20181108,1
312,SSE,20181109,1
313,SSE,20181110,0
314,SSE,20181111,0
315,SSE,20181112,1
316,SSE,20181113,1
317,SSE,20181114,1
318,SSE,20181115,1
319,SSE,20181116,1
320,SSE,20181117,0
321,SSE,20181118,0
322,SSE,20181119,1
323,SSE,20181120,1
324,SSE,20181121,1
325,SSE,20181122,1
326,SSE,20181123,1
327,SSE,20181124,0
328,SSE,20181125,0
329,SSE,20181126,1
330,SSE,20181127,1
331,SSE,20181128,1
332,SSE,20181129,1
333,SSE,20181130,1
334,SSE,20181201,0
335,SSE,20181202,0
336,SSE,20181203,1
337,SSE,20181204,1
338,SSE,20181205,1
339,SSE,20181206,1
340,SSE,20181207,1
341,SSE,20181208,0
342,SSE,20181209,0
343,SSE,20181210,1
344,SSE,20181211,1
345,SSE,20181212,1
346,SSE,20181213,1
347,SSE,20181214,1
348,SSE,20181215,0
349,SSE,20181216,0
350,SSE,20181217,1
351,SSE,20181218,1
352,SSE,20181219,1
353,SSE,20181220,1
354,SSE,20181221,1
355,SSE,20181222,0
356,SSE,20181223,0
357,SSE,20181224,1
358,SSE,20181225,1
359,SSE,20181226,1
360,SSE,20181227,1
361,SSE,20181228,1
362,SSE,20181229,0
363,SSE,20181230,0
364,SSE,20181231,0
