,S代码,告期,营业务来源,营业务收入(元),营业务利润(元),营业务成本(元),币代码
0,600000.SH,20181231,利息收入:租赁业务(产品),2071000000.0,,,CNY
1,600000.SH,20181231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),12831000000.0,,,CNY
2,600000.SH,20181231,利息收入:拆出资金(产品),5775000000.0,,,CNY
3,600000.SH,20181231,利息收入:买入返售金融资产(产品),2141000000.0,,,CNY
4,600000.SH,20181231,利息收入:发放贷款及垫款:公司贷款业务(产品),85927000000.0,,,CNY
5,600000.SH,20181231,非利息收入:手续费及佣金收入:投行业务手续费(产品),3048000000.0,,,CNY
6,600000.SH,20181231,非利息收入:手续费及佣金收入:代理委托业务(产品),1883000000.0,,,CNY
7,600000.SH,20181231,利息收入:存放同业和其他金融机构款项(产品),2659000000.0,,,CNY
8,600000.SH,20181231,利息收入:存放中央银行款项(产品),6806000000.0,,,CNY
9,600000.SH,20181231,利息收入:债券投资(产品),68006000000.0,,,CNY
10,600000.SH,20181231,利息收入:其他(产品),604000000.0,,,CNY
11,600000.SH,20181231,利息收入:发放贷款及垫款:票据贴现业务(产品),7939000000.0,,,CNY
12,600000.SH,20181231,非利息收入:手续费及佣金收入:银行卡业务(产品),23390000000.0,,,CNY
13,600000.SH,20181231,利息收入:发放贷款及垫款:个人贷款业务(产品),85560000000.0,,,CNY
14,600000.SH,20181231,非利息收入:手续费及佣金收入:担保承诺业务(产品),2276000000.0,,,CNY
15,600000.SH,20181231,非利息收入:手续费及佣金收入:其他(产品),1757000000.0,,,CNY
16,600000.SH,20181231,非利息收入:手续费及佣金收入:结算业务(产品),1020000000.0,,,CNY
17,600000.SH,20180630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),6471000000.0,,,CNY
18,600000.SH,20180630,非利息收入:手续费及佣金收入:代理委托业务(产品),1075000000.0,,,CNY
19,600000.SH,20180630,利息收入:存放中央银行款项(产品),3274000000.0,,,CNY
20,600000.SH,20180630,非利息收入:手续费及佣金收入:其他(产品),1007000000.0,,,CNY
21,600000.SH,20180630,利息收入:债券投资(产品),36791000000.0,,,CNY
22,600000.SH,20180630,利息收入:租赁业务(产品),986000000.0,,,CNY
23,600000.SH,20180630,非利息收入:手续费及佣金收入:投行业务手续费(产品),1602000000.0,,,CNY
24,600000.SH,20180630,非利息收入:手续费及佣金收入:银行卡业务(产品),10697000000.0,,,CNY
25,600000.SH,20180630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1321000000.0,,,CNY
26,600000.SH,20180630,利息收入:发放贷款及垫款:票据贴现业务(产品),3017000000.0,,,CNY
27,600000.SH,20180630,利息收入:存放同业和其他金融机构款项(产品),1652000000.0,,,CNY
28,600000.SH,20180630,利息收入:其他(产品),249000000.0,,,CNY
29,600000.SH,20180630,利息收入:发放贷款及垫款:个人贷款业务(产品),41096000000.0,,,CNY
30,600000.SH,20180630,非利息收入:手续费及佣金收入:结算业务(产品),490000000.0,,,CNY
31,600000.SH,20180630,利息收入:拆出资金(产品),2395000000.0,,,CNY
32,600000.SH,20180630,利息收入:发放贷款及垫款:公司贷款业务(产品),42032000000.0,,,CNY
33,600000.SH,20180630,利息收入:买入返售金融资产(产品),1131000000.0,,,CNY
34,600000.SH,20171231,利息收入(产品),245818000000.0,,,CNY
35,600000.SH,20171231,利息收入:发放贷款及垫款:公司贷款业务(产品),81025000000.0,,,CNY
36,600000.SH,20171231,非利息收入:手续费及佣金收入:代理委托业务(产品),1700000000.0,,,CNY
37,600000.SH,20171231,非利息收入:手续费及佣金收入:其他(产品),3272000000.0,,,CNY
38,600000.SH,20171231,利息收入:债券投资(产品),73449000000.0,,,CNY
39,600000.SH,20171231,利息收入:买入返售金融资产(产品),1177000000.0,,,CNY
40,600000.SH,20171231,非利息收入:手续费及佣金收入:银行卡业务(产品),17717000000.0,,,CNY
41,600000.SH,20171231,利息收入:发放贷款及垫款:票据贴现业务(产品),2554000000.0,,,CNY
42,600000.SH,20171231,利息收入:发放贷款及垫款:个人贷款业务(产品),69502000000.0,,,CNY
43,600000.SH,20171231,非利息收入:手续费及佣金收入:担保承诺业务(产品),2311000000.0,,,CNY
44,600000.SH,20171231,非利息收入:手续费及佣金收入:结算业务(产品),1201000000.0,,,CNY
45,600000.SH,20171231,利息收入:存放同业和其他金融机构款项(产品),3903000000.0,,,CNY
46,600000.SH,20171231,非利息收入:手续费及佣金收入(产品),50773000000.0,,,CNY
47,600000.SH,20171231,利息收入:租赁业务(产品),1899000000.0,,,CNY
48,600000.SH,20171231,利息收入:拆出资金(产品),4322000000.0,,,CNY
49,600000.SH,20171231,利息收入:发放贷款及垫款(产品),153081000000.0,,,CNY
50,600000.SH,20171231,非利息收入:手续费及佣金收入:投行业务手续费(产品),3521000000.0,,,CNY
51,600000.SH,20171231,利息收入:其他(产品),458000000.0,,,CNY
52,600000.SH,20171231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),21051000000.0,,,CNY
53,600000.SH,20171231,利息收入:存放中央银行款项(产品),7529000000.0,,,CNY
54,600000.SH,20170630,非利息收入:手续费及佣金收入:其他(产品),1534000000.0,,,CNY
55,600000.SH,20170630,利息收入:存放中央银行款项(产品),3720000000.0,,,CNY
56,600000.SH,20170630,利息收入(产品),118593000000.0,,,CNY
57,600000.SH,20170630,非利息收入:手续费及佣金收入(产品),26257000000.0,,,CNY
58,600000.SH,20170630,利息收入:发放贷款及垫款:个人贷款业务(产品),31991000000.0,,,CNY
59,600000.SH,20170630,利息收入:发放贷款及垫款:票据贴现业务(产品),878000000.0,,,CNY
60,600000.SH,20170630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),3646000000.0,,,CNY
61,600000.SH,20170630,非利息收入:手续费及佣金收入:财务顾问业务(产品),8120000000.0,,,CNY
62,600000.SH,20170630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1233000000.0,,,CNY
63,600000.SH,20170630,非利息收入:手续费及佣金收入:结算业务(产品),594000000.0,,,CNY
64,600000.SH,20170630,非利息收入:手续费及佣金收入:投行业务手续费(产品),1961000000.0,,,CNY
65,600000.SH,20170630,利息收入:拆出资金(产品),2024000000.0,,,CNY
66,600000.SH,20170630,非利息收入:手续费及佣金收入:银行卡业务(产品),8099000000.0,,,CNY
67,600000.SH,20170630,利息收入:存放同业和其他金融机构款项(产品),2355000000.0,,,CNY
68,600000.SH,20170630,利息收入:发放贷款及垫款:公司贷款业务(产品),40398000000.0,,,CNY
69,600000.SH,20170630,利息收入:买入返售金融资产(产品),531000000.0,,,CNY
70,600000.SH,20170630,利息收入:发放贷款及垫款(产品),73267000000.0,,,CNY
71,600000.SH,20170630,利息收入:其他(产品),244000000.0,,,CNY
72,600000.SH,20170630,利息收入:债券投资(产品),35549000000.0,,,CNY
73,600000.SH,20170630,非利息收入:手续费及佣金收入:代理委托业务(产品),1070000000.0,,,CNY
74,600000.SH,20170630,利息收入:租赁业务(产品),903000000.0,,,CNY
75,600000.SH,20161231,利息收入:存放同业和其他金融机构款项(产品),2688000000.0,,,CNY
76,600000.SH,20161231,利息收入:发放贷款及垫款:公司贷款业务(产品),79751000000.0,,,CNY
77,600000.SH,20161231,利息收入:发放贷款及垫款:个人贷款业务(产品),36918000000.0,,,CNY
78,600000.SH,20161231,非利息收入:手续费及佣金收入:银行卡业务(产品),12670000000.0,,,CNY
79,600000.SH,20161231,非利息收入:手续费及佣金收入:代理委托业务(产品),1938000000.0,,,CNY
80,600000.SH,20161231,非利息收入:手续费及佣金收入:担保承诺业务(产品),2261000000.0,,,CNY
81,600000.SH,20161231,利息收入:存放中央银行款项(产品),7422000000.0,,,CNY
82,600000.SH,20161231,利息收入:发放贷款及垫款:票据贴现业务(产品),2562000000.0,,,CNY
83,600000.SH,20161231,非利息收入:手续费及佣金收入:结算业务(产品),863000000.0,,,CNY
84,600000.SH,20161231,利息收入(产品),214814000000.0,,,CNY
85,600000.SH,20161231,利息收入:买入返售金融资产(产品),1012000000.0,,,CNY
86,600000.SH,20161231,非利息收入:手续费及佣金收入:财务顾问业务(产品),12872000000.0,,,CNY
87,600000.SH,20161231,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),6022000000.0,,,CNY
88,600000.SH,20161231,非利息收入:手续费及佣金收入:投行业务手续费(产品),3713000000.0,,,CNY
89,600000.SH,20161231,利息收入:租赁业务(产品),2368000000.0,,,CNY
90,600000.SH,20161231,利息收入:债券投资(产品),76121000000.0,,,CNY
91,600000.SH,20161231,利息收入:发放贷款及垫款(产品),119231000000.0,,,CNY
92,600000.SH,20161231,非利息收入:手续费及佣金收入:其他(产品),2897000000.0,,,CNY
93,600000.SH,20161231,利息收入:其他(产品),445000000.0,,,CNY
94,600000.SH,20161231,非利息收入:手续费及佣金收入(产品),43236000000.0,,,CNY
95,600000.SH,20161231,利息收入:拆出资金(产品),5527000000.0,,,CNY
96,600000.SH,20160630,利息收入(产品),108144000000.0,,,CNY
97,600000.SH,20160630,非利息收入:手续费及佣金收入:代理委托业务(产品),1210000000.0,,,CNY
98,600000.SH,20160630,利息收入:发放贷款及垫款:公司贷款业务(产品),40808000000.0,,,CNY
99,600000.SH,20160630,利息收入:拆出资金(产品),2457000000.0,,,CNY
